Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,121.55999755859375,121.76000213623047,119.9000015258789,120.30000305175781,85.63450622558594,55748000
2005-01-04,120.45999908447266,120.54000091552734,118.44000244140625,118.83000183105469,84.58810424804688,69167600
2005-01-05,118.73999786376953,119.25,118.0,118.01000213623047,84.00437927246094,65667300
2005-01-06,118.44000244140625,119.1500015258789,118.26000213623047,118.61000061035156,84.43148040771484,47814700
2005-01-07,118.97000122070312,119.2300033569336,118.12999725341797,118.44000244140625,84.31049346923828,55847700
2005-01-10,118.33999633789062,119.45999908447266,118.33999633789062,119.0,84.70913696289062,56563300
2005-01-11,118.63999938964844,118.73999786376953,117.98999786376953,118.18000030517578,84.12541961669922,63099700
2005-01-12,118.4000015258789,118.83999633789062,117.5199966430664,118.56999969482422,84.40302276611328,72720500
2005-01-13,118.63999938964844,118.7300033569336,117.5,117.62000274658203,83.72676086425781,55537500
2005-01-14,117.97000122070312,118.52999877929688,117.76000213623047,118.23999786376953,84.16812896728516,42032500
2005-01-18,118.05000305175781,119.62000274658203,117.94999694824219,119.47000122070312,85.04367065429688,57391700
2005-01-19,119.43000030517578,119.5199966430664,118.20999908447266,118.22000122070312,84.15387725830078,54378900
2005-01-20,117.88999938964844,118.19999694824219,117.29000091552734,117.5,83.64134216308594,72049300
2005-01-21,117.79000091552734,118.0,116.6500015258789,116.77999877929688,83.12882995605469,63160400
2005-01-24,117.08999633789062,117.33999633789062,116.37000274658203,116.55000305175781,82.96508026123047,58441900
2005-01-25,116.91000366210938,117.47000122070312,116.72000122070312,116.87999725341797,83.20000457763672,68245000
2005-01-26,117.31999969482422,117.5999984741211,117.04000091552734,117.2300033569336,83.44918823242188,57195100
2005-01-27,117.19000244140625,117.75,116.9800033569336,117.43000030517578,83.59151458740234,55878800
2005-01-28,117.48999786376953,117.55000305175781,116.61000061035156,117.43000030517578,83.59151458740234,60738900
2005-01-31,117.94999694824219,118.25,117.70999908447266,118.16000366210938,84.11117553710938,52532700
2005-02-01,118.25,119.08000183105469,118.0999984741211,118.91000366210938,84.64505767822266,49841200
2005-02-02,119.05999755859375,119.58999633789062,118.9000015258789,119.2699966430664,84.90131378173828,52468900
2005-02-03,119.05999755859375,119.16000366210938,118.56999969482422,118.95999908447266,84.6806640625,48837100
2005-02-04,119.0,120.43000030517578,118.9800033569336,120.2300033569336,85.584716796875,50024600
2005-02-07,120.25,120.5199966430664,119.95999908447266,120.06999969482422,85.47081756591797,45412000
2005-02-08,120.16999816894531,120.6500015258789,120.06999969482422,120.20999908447266,85.57044219970703,39263500
2005-02-09,120.41999816894531,120.48999786376953,119.25,119.30999755859375,84.92979431152344,55279400
2005-02-10,119.66000366210938,120.0199966430664,119.26000213623047,119.73999786376953,85.23587036132812,45858600
